group_id,course_name,start_date,end_date,gender,background_level,age,exam_1_score,exam_2_score,exam_3_score,homework_submission_rate,practice_participation_rate,lecture_attendance_rate,self_study_hours_per_week,video_lecture_engagement_level,assigned_readings_completion_level,asked_questions_flag,requested_help,effort_index,failures,continued_after_failure,focus_level,has_a_job,also_studies_in_uni,daily_screen_time_hours,travel_time_minutes,smoking_and_breaks_level,health_rating,wants_higher_education,freetime_rating,weekday_alcohol_usage,stress_level,sleep_hours,parental_education,device_access_score,peer_support_level
Wave_1,AI,Sep 2023,Sep 2024,M,beginner,13,95.77,66.17,74.81,0.75,0.31,1,15,sometimes,partial,1,0,0.7,1,0,3,0,0,4.7,44,frequent,4,1,2,5,3,8.9,school,0.7,4
Wave_2,C++,Mar 2024,Mar 2025,M,intermediate,24,89.84,57.67,45.49,0.67,0.75,0.34,18,mostly,partial,0,1,0.66,0,1,5,0,1,9,17,none,4,0,4,3,5,4.9,higher,0.49,4
Wave_4,DevHack,Mar 2025,Mar 2026,M,intermediate,30,97.9,96.91,92.65,0.81,0.93,0.79,12.7,mostly,partial,1,1,0.79,1,1,3,1,0,2.7,88,frequent,2,1,3,1,3,6.2,higher,0.63,1
Wave_1,C++,Sep 2023,Sep 2024,M,advanced,27,47.46,85.82,55.94,0.36,0.47,0.99,9,never,mostly,1,1,0.57,0,1,3,0,0,3.7,39,light,2,1,5,5,5,6.4,school,0.53,1
Wave_4,AI,Mar 2025,Mar 2026,M,intermediate,24,83.85,48.41,47.77,0.34,0.95,0.47,9.4,every_lecture,mostly,1,0,0.56,2,0,5,0,0,8,9,frequent,5,1,1,5,3,8.1,higher,0.71,1
Wave_1,Web,Sep 2023,Sep 2024,F,intermediate,31,96.3,92.11,93.32,0.47,0.34,0.4,14.5,every_lecture,all,1,1,0.48,1,1,5,0,1,2.4,77,frequent,5,1,2,2,5,4.5,school,0.92,3
Wave_2,Web,Mar 2024,Mar 2025,F,beginner,22,50.87,69.25,97.34,0.41,0.95,0.38,2.1,mostly,mostly,0,1,0.46,0,1,1,0,0,5.9,33,none,1,1,5,2,3,6.1,school,0.7,1
Wave_3,AI,Sep 2024,Sep 2025,M,beginner,20,43.99,93.67,91.73,0.91,0.55,0.51,13.2,every_lecture,mostly,0,1,0.66,0,1,3,1,0,5.5,74,none,2,1,4,1,3,7.1,none,0.74,5
Wave_1,DevHack,Sep 2023,Sep 2024,M,beginner,28,84.47,87.99,88.57,0.45,0.37,0.37,8.4,mostly,partial,0,1,0.4,1,1,4,0,0,4.7,29,none,2,0,1,5,2,5.1,school,0.66,4
Wave_4,C++,Mar 2025,Mar 2026,M,beginner,28,74.47,65.51,79.31,0.98,0.64,0.78,16.3,every_lecture,all,1,1,0.8,0,0,3,0,0,5.2,26,light,2,0,5,2,5,7.1,higher,0.34,5
Wave_2,DevHack,Mar 2024,Mar 2025,F,advanced,32,90.51,41.35,73.05,0.54,0.48,0.34,3.7,mostly,all,0,1,0.39,0,1,3,0,0,6.2,70,frequent,5,1,1,3,5,8.6,school,0.46,1
Wave_1,AI,Sep 2023,Sep 2024,F,beginner,29,48.39,56.12,45.22,0.43,0.5,0.66,12.6,mostly,all,0,0,0.55,1,1,5,1,0,3.3,49,frequent,4,1,2,3,5,9,school,0.64,3
Wave_4,Web,Mar 2025,Mar 2026,F,advanced,26,87.72,72.5,64.51,0.85,0.52,1,10.7,sometimes,none,1,0,0.73,1,1,3,0,0,6.6,73,none,3,1,4,5,1,4.2,school,0.52,3
Wave_4,DevHack,Mar 2025,Mar 2026,F,intermediate,27,52.1,78.01,62.36,0.76,0.86,0.87,13.6,every_lecture,mostly,0,0,0.79,1,1,3,0,1,8.4,76,light,5,0,1,2,3,5.2,school,0.43,4
Wave_4,AI,Mar 2025,Mar 2026,F,intermediate,29,49.82,55.47,55.59,0.65,0.68,0.73,3.2,mostly,none,1,1,0.56,2,1,4,0,1,8.1,5,light,2,0,5,1,5,5.6,higher,0.65,5
Wave_1,C++,Sep 2023,Sep 2024,F,intermediate,34,49.86,48.36,83.41,0.69,0.52,0.51,12.4,sometimes,partial,1,1,0.58,1,1,5,0,1,3.2,88,none,5,1,2,1,1,6,higher,0.53,2
Wave_1,Web,Sep 2023,Sep 2024,F,intermediate,23,88.87,90.1,69.75,0.8,0.73,0.74,12.1,never,none,1,1,0.72,0,1,3,0,0,3.2,48,none,1,0,2,1,2,5.2,school,0.48,5
Wave_1,DevHack,Sep 2023,Sep 2024,F,intermediate,24,79.91,99.06,44.86,0.46,0.8,0.67,12.1,mostly,mostly,0,0,0.63,0,1,2,0,1,4.1,79,none,2,1,5,3,5,5,higher,0.62,1
Wave_3,C++,Sep 2024,Sep 2025,F,beginner,31,71.38,71.54,53.21,1,0.49,0.6,12.9,mostly,mostly,0,1,0.68,0,1,1,1,0,4.9,43,frequent,1,0,5,2,5,8.8,school,0.39,2
Wave_1,AI,Sep 2023,Sep 2024,M,intermediate,30,61.53,50.3,81,0.98,0.59,0.39,14.2,mostly,partial,1,1,0.67,0,1,4,0,0,5.3,58,none,2,1,1,2,1,8.6,higher,0.95,3
Wave_1,C++,Sep 2023,Sep 2024,M,beginner,25,92.63,56.34,44.57,0.76,0.39,0.92,16.5,every_lecture,partial,1,1,0.72,1,1,3,1,0,7.4,79,light,5,1,3,3,3,4.2,school,0.91,4
Wave_1,Web,Sep 2023,Sep 2024,M,beginner,27,63.55,41.1,91.07,0.44,0.43,0.61,6.9,never,mostly,1,1,0.46,1,0,2,1,0,2.5,33,light,4,0,2,1,2,5.7,school,0.8,4
Wave_3,Web,Sep 2024,Sep 2025,M,intermediate,26,89,94.86,69.71,0.78,0.78,0.44,16.9,mostly,partial,0,1,0.71,0,1,3,0,0,2.3,58,none,3,1,1,1,5,6,school,0.37,3
Wave_1,DevHack,Sep 2023,Sep 2024,F,beginner,19,66.35,47.07,68.84,0.35,0.43,0.56,11,sometimes,partial,1,1,0.47,1,1,3,0,0,5.1,20,frequent,1,0,5,5,3,5.2,school,0.84,1
Wave_4,C++,Mar 2025,Mar 2026,F,advanced,22,62.62,74.59,75.54,0.32,0.67,0.59,3.4,every_lecture,mostly,1,0,0.44,0,1,5,0,0,7.6,24,frequent,5,1,1,4,2,7.1,none,0.87,3
Wave_1,AI,Sep 2023,Sep 2024,M,advanced,22,67.76,56.44,89.48,0.48,0.8,0.88,3.1,every_lecture,mostly,1,1,0.58,1,1,5,1,0,3.5,50,none,4,1,5,2,4,7.2,school,0.84,1
Wave_4,Web,Mar 2025,Mar 2026,F,advanced,23,58.08,73.25,60.87,0.62,0.37,0.81,8,mostly,none,1,0,0.55,0,1,5,0,0,7.1,71,light,5,1,4,2,4,8.3,school,0.38,2
Wave_4,DevHack,Mar 2025,Mar 2026,M,beginner,25,84.86,79.09,80.68,0.91,0.7,0.84,16.1,mostly,none,1,0,0.81,0,0,2,0,0,4.1,69,none,1,1,5,2,2,7.7,higher,0.75,3
Wave_4,AI,Mar 2025,Mar 2026,F,beginner,33,70.16,89.78,73.94,0.81,0.48,0.31,14.7,sometimes,partial,1,0,0.58,1,1,3,0,0,9.1,62,none,3,1,5,4,1,6.7,none,0.88,1
Wave_3,DevHack,Sep 2024,Sep 2025,M,advanced,30,53.93,52.39,56.02,0.82,0.97,0.59,16.2,mostly,all,0,1,0.8,1,0,1,1,1,9.2,57,none,5,0,5,5,2,7.3,school,0.7,2
Wave_3,AI,Sep 2024,Sep 2025,F,intermediate,18,93.97,40.66,92.72,0.6,0.64,0.64,11.3,every_lecture,mostly,1,1,0.61,0,1,4,1,1,4.4,5,light,2,0,3,4,2,5.4,none,0.75,3
Wave_3,C++,Sep 2024,Sep 2025,F,advanced,34,63.03,48.21,87.85,0.54,0.86,0.31,9.9,mostly,mostly,0,1,0.55,0,0,5,0,0,3.8,85,light,4,1,5,1,1,7,higher,0.62,4
Wave_1,C++,Sep 2023,Sep 2024,M,advanced,24,72.61,94,79.51,0.56,0.69,0.48,4.7,sometimes,partial,1,0,0.49,1,1,5,1,0,5.3,70,none,5,1,2,1,1,6.4,none,0.67,3
Wave_4,C++,Mar 2025,Mar 2026,F,advanced,30,94.39,92.43,91.03,0.99,0.33,0.83,7.9,mostly,mostly,1,1,0.64,0,1,3,0,0,3.9,33,none,4,1,2,2,3,4.7,higher,0.32,5
Wave_3,Web,Sep 2024,Sep 2025,M,beginner,21,77.45,75.84,92.04,0.33,0.74,0.4,9.8,every_lecture,none,0,1,0.49,0,1,3,0,1,7.4,88,frequent,2,1,1,3,3,5.2,higher,0.75,3
Wave_3,DevHack,Sep 2024,Sep 2025,M,beginner,21,47.01,76.03,82.5,0.91,0.97,0.67,3.6,sometimes,mostly,0,1,0.68,0,1,2,1,0,8.6,74,none,3,1,3,2,1,5.5,school,0.36,5
Wave_1,Web,Sep 2023,Sep 2024,M,advanced,23,96.39,79.9,90.22,0.71,0.72,0.45,6,sometimes,all,0,1,0.54,1,1,2,0,0,7.4,12,none,3,1,1,3,4,8.6,school,0.6,2
Wave_3,AI,Sep 2024,Sep 2025,M,beginner,29,77.66,50.52,81.85,0.61,0.87,0.31,12.8,mostly,mostly,1,0,0.61,0,1,5,0,0,8.6,33,light,2,1,2,4,4,5.2,school,0.5,3
Wave_1,DevHack,Sep 2023,Sep 2024,F,beginner,24,60.09,94.86,80.81,0.81,0.92,0.47,15.2,every_lecture,all,1,1,0.74,0,1,3,0,0,5.2,55,frequent,4,1,2,1,2,5.4,school,0.68,2
Wave_2,AI,Mar 2024,Mar 2025,F,intermediate,27,48.36,65.13,77.12,0.64,0.46,0.98,20,sometimes,mostly,0,1,0.77,1,0,1,1,0,3.3,37,none,5,1,4,3,5,5.8,higher,0.39,2
Wave_3,C++,Sep 2024,Sep 2025,F,advanced,24,87.64,62.99,85.16,0.91,0.45,0.86,18.8,sometimes,partial,1,0,0.79,0,1,4,1,1,7.9,7,light,2,0,5,4,2,7.3,higher,0.78,1
Wave_2,C++,Mar 2024,Mar 2025,M,intermediate,20,77.2,71.14,49.52,0.93,0.73,0.97,13.6,sometimes,all,1,1,0.83,1,0,3,1,0,4.9,64,frequent,1,0,2,1,2,4.6,none,0.86,2
Wave_1,AI,Sep 2023,Sep 2024,F,intermediate,30,72.01,42.82,92.85,0.6,0.59,0.64,9.6,sometimes,none,0,1,0.58,0,1,3,1,0,7.4,39,none,4,0,1,3,5,8.8,school,0.41,2
Wave_4,Web,Mar 2025,Mar 2026,M,beginner,30,93.63,49.98,92.31,0.49,0.89,0.38,13.5,mostly,mostly,0,1,0.61,0,1,2,0,1,4.2,73,light,3,0,1,2,1,8.3,higher,0.37,3
Wave_3,Web,Sep 2024,Sep 2025,F,intermediate,25,87.32,84.28,41.75,0.71,0.93,0.68,16.1,mostly,partial,1,0,0.78,0,1,4,0,1,2.6,80,none,2,1,5,2,4,6.9,school,0.4,3
Wave_1,C++,Sep 2023,Sep 2024,F,advanced,26,49.1,44.97,89.55,0.94,0.55,0.62,4.1,mostly,none,1,0,0.58,0,1,5,0,0,9.9,88,light,3,1,5,2,2,7.4,none,0.91,4
Wave_4,DevHack,Mar 2025,Mar 2026,F,beginner,24,58.7,76.19,47.73,0.45,0.47,0.89,9.4,mostly,mostly,1,0,0.57,0,1,3,0,0,3.2,24,light,4,1,4,4,5,4.1,school,0.67,1
Wave_4,AI,Mar 2025,Mar 2026,M,intermediate,18,54.91,54.72,60.11,0.74,0.85,0.37,17.1,sometimes,partial,0,1,0.7,0,0,5,0,0,9.9,77,light,3,1,3,2,3,5.7,school,0.63,2
Wave_2,Web,Mar 2024,Mar 2025,F,advanced,20,84.64,63.36,84.61,0.74,0.49,0.64,8.9,every_lecture,mostly,0,1,0.58,0,1,3,1,1,9.8,43,none,2,1,1,5,2,8,higher,0.37,1
Wave_1,Web,Sep 2023,Sep 2024,F,intermediate,30,42.01,57.32,49.65,0.81,0.88,0.41,12.3,mostly,mostly,1,0,0.68,0,1,5,0,0,8.4,8,frequent,4,0,5,1,4,4.4,school,0.75,5
Wave_4,C++,Mar 2025,Mar 2026,M,intermediate,34,74.19,61.34,89.08,0.39,0.6,0.53,12.6,every_lecture,none,0,1,0.54,2,1,4,0,1,7.3,23,none,1,0,1,4,1,5.4,school,0.91,2
Wave_3,DevHack,Sep 2024,Sep 2025,F,intermediate,18,85.75,83.14,89.93,0.8,0.77,0.82,5.3,mostly,partial,0,1,0.66,0,1,2,0,0,6.6,49,none,2,0,5,2,2,6.9,higher,0.88,1
Wave_3,AI,Sep 2024,Sep 2025,M,beginner,23,92.61,57.83,70.45,0.94,0.37,0.63,8.5,sometimes,mostly,0,0,0.59,0,1,4,0,0,8.9,47,none,5,1,2,1,2,5.3,school,0.74,4
Wave_2,DevHack,Mar 2024,Mar 2025,F,beginner,23,60.52,73.98,40.38,0.43,0.74,0.56,8,mostly,partial,1,1,0.53,1,1,1,1,0,4.3,17,light,2,0,1,3,5,8.7,higher,0.35,4
Wave_4,Web,Mar 2025,Mar 2026,M,advanced,29,89.28,68.56,57.22,0.47,0.62,0.58,2.5,sometimes,mostly,1,1,0.45,0,1,2,0,0,5.7,17,light,4,0,2,2,3,4.7,school,0.38,2
Wave_1,DevHack,Sep 2023,Sep 2024,M,advanced,30,46.64,79.82,77.02,0.98,0.71,0.62,2.4,mostly,mostly,1,0,0.61,0,1,4,0,0,7,64,none,2,1,1,1,3,8,school,0.33,5
Wave_3,C++,Sep 2024,Sep 2025,F,advanced,30,90.79,96.21,98.87,0.43,0.42,0.85,17,never,all,1,0,0.64,1,1,1,1,0,5.3,61,light,1,1,3,5,1,6.5,higher,0.48,4
Wave_4,DevHack,Mar 2025,Mar 2026,M,advanced,32,47.65,83.95,77.91,0.9,0.82,0.92,6.9,sometimes,mostly,0,1,0.75,0,0,3,0,0,5.4,56,none,1,0,4,3,4,7.8,school,0.39,4
Wave_4,AI,Mar 2025,Mar 2026,M,intermediate,33,63.84,52.9,55.59,0.64,0.9,0.97,11.3,every_lecture,mostly,1,1,0.77,0,1,3,0,1,4.6,57,light,5,1,2,5,1,5.6,school,0.48,5
Wave_2,AI,Mar 2024,Mar 2025,M,intermediate,28,87.84,41.87,78.04,0.47,0.45,0.85,7.4,sometimes,mostly,0,1,0.54,1,1,5,0,0,6.5,47,none,3,1,5,1,2,6.6,school,0.57,1
Wave_3,Web,Sep 2024,Sep 2025,M,intermediate,22,49,55.74,72.4,0.91,0.37,0.52,18.9,every_lecture,partial,1,1,0.69,1,1,2,0,1,8.8,87,light,4,1,3,5,2,8.3,none,0.96,4
Wave_3,DevHack,Sep 2024,Sep 2025,M,intermediate,21,53.76,75.7,86.79,0.61,0.32,0.78,6.7,sometimes,partial,1,0,0.51,1,0,3,1,0,3.6,76,none,4,1,1,1,3,6.3,school,0.73,3
Wave_1,AI,Sep 2023,Sep 2024,M,intermediate,20,83.34,43.09,46.42,0.66,0.75,0.61,9.7,mostly,mostly,1,0,0.63,0,1,2,1,0,9.5,76,frequent,3,0,2,1,4,5.8,higher,0.88,4
Wave_3,AI,Sep 2024,Sep 2025,F,intermediate,32,83.2,69.78,85.66,0.55,0.72,0.48,17.7,mostly,mostly,0,1,0.66,0,1,3,0,0,7.5,46,none,1,0,1,5,5,6.7,higher,0.8,1
Wave_1,C++,Sep 2023,Sep 2024,M,advanced,26,78.47,75.81,72.48,0.72,0.68,0.89,17.2,mostly,mostly,1,0,0.79,2,1,5,1,0,8.6,30,none,1,1,1,1,4,7.6,higher,0.38,1
Wave_3,C++,Sep 2024,Sep 2025,M,beginner,34,81.64,60.05,97.78,0.41,0.46,0.33,5.3,sometimes,all,0,0,0.37,0,1,4,0,1,6.4,27,none,2,1,1,2,2,6.2,school,0.82,2
Wave_2,C++,Mar 2024,Mar 2025,F,beginner,31,72.56,86.25,60.51,0.57,0.57,0.93,16.4,sometimes,all,1,1,0.72,3,0,5,0,0,8.2,47,frequent,5,1,4,1,5,8.7,school,0.49,3
Wave_3,Web,Sep 2024,Sep 2025,F,beginner,32,55.11,46.4,77.96,0.98,0.72,0.62,10.2,never,all,1,1,0.71,0,1,1,0,0,2.1,81,frequent,5,1,4,4,4,5.5,none,0.75,1
Wave_1,Web,Sep 2023,Sep 2024,F,intermediate,18,60.74,44.51,95.92,0.48,0.65,0.75,10.7,sometimes,mostly,1,1,0.6,1,1,3,0,0,8.5,32,none,5,1,5,1,4,6.4,higher,0.54,5
Wave_1,DevHack,Sep 2023,Sep 2024,F,beginner,20,50.9,83.69,46.15,0.76,0.99,0.76,4.4,mostly,partial,1,1,0.68,0,1,1,0,0,2.3,13,light,2,1,2,4,5,7.8,school,1,3
Wave_2,Web,Mar 2024,Mar 2025,F,intermediate,33,94.51,69.73,96.23,0.53,0.4,0.93,3.5,every_lecture,mostly,1,0,0.51,0,1,1,1,0,9.1,24,frequent,5,1,3,1,2,7.4,school,0.48,3
Wave_3,DevHack,Sep 2024,Sep 2025,F,intermediate,28,75,81.3,81.27,0.84,0.79,0.75,15.1,every_lecture,partial,0,1,0.78,0,0,2,1,1,9.9,60,light,3,1,3,1,4,8.3,higher,0.5,5
Wave_3,AI,Sep 2024,Sep 2025,F,beginner,29,64.05,66.09,44.07,0.39,0.58,0.73,10.9,mostly,mostly,1,0,0.56,0,1,3,0,1,4.4,87,light,2,0,3,5,5,9,school,0.95,4
Wave_2,DevHack,Mar 2024,Mar 2025,M,intermediate,27,67.72,54.78,58.06,0.98,0.6,0.35,9.9,mostly,mostly,0,1,0.61,0,0,1,0,0,3.7,43,none,3,1,1,2,2,6.1,school,0.32,5
Wave_3,C++,Sep 2024,Sep 2025,M,beginner,33,96.84,89.15,82.49,0.62,0.8,0.66,15.1,mostly,mostly,1,1,0.71,1,1,4,0,0,8.1,55,none,2,0,4,2,5,4.6,higher,0.79,5
Wave_3,Web,Sep 2024,Sep 2025,F,beginner,25,49.2,87.96,44.04,0.47,0.78,0.41,15.8,sometimes,partial,1,1,0.61,1,1,1,0,0,4,16,frequent,5,0,2,3,5,4.2,higher,0.81,4
Wave_1,AI,Sep 2023,Sep 2024,M,advanced,14,75.17,81.68,74.93,0.35,0.99,0.82,4.9,every_lecture,partial,1,1,0.6,2,1,4,0,0,8.9,83,frequent,3,1,1,5,4,7.6,school,0.89,4
Wave_3,DevHack,Sep 2024,Sep 2025,M,beginner,29,70.35,56.33,60.75,0.42,0.39,0.66,13,mostly,mostly,1,1,0.53,0,1,2,0,0,2.8,59,light,3,0,4,5,2,8.4,school,0.98,4
Wave_3,AI,Sep 2024,Sep 2025,M,beginner,25,76.69,75.41,77.25,0.66,0.37,0.78,4.4,mostly,partial,1,0,0.51,0,1,1,1,0,3,82,none,3,0,4,2,4,5.1,higher,0.98,4
Wave_2,AI,Mar 2024,Mar 2025,F,intermediate,13,41.09,61.66,42.74,0.54,0.81,0.33,15.5,sometimes,all,0,1,0.61,0,1,5,0,0,9.8,15,none,2,0,2,5,1,4.8,none,0.35,4
Wave_2,C++,Mar 2024,Mar 2025,F,intermediate,25,92.33,45.49,92.29,0.88,0.7,0.36,13.8,mostly,partial,1,1,0.66,2,1,2,0,0,7.4,30,light,4,1,2,2,1,4.3,school,0.88,5
Wave_4,C++,Mar 2025,Mar 2026,M,beginner,22,95.93,95.04,98.41,0.6,0.49,0.8,19.2,mostly,partial,0,0,0.71,0,1,4,0,0,8.8,46,frequent,5,1,2,5,2,8.1,school,0.75,2
Wave_1,C++,Sep 2023,Sep 2024,F,intermediate,26,73.91,48.21,98.13,0.47,0.36,0.35,3.2,every_lecture,none,1,1,0.34,0,1,2,0,0,4.6,31,frequent,3,1,1,1,5,5.6,school,0.75,2
Wave_3,C++,Sep 2024,Sep 2025,M,beginner,21,81.8,97.01,84.98,0.73,0.36,0.35,3,mostly,mostly,0,1,0.4,1,0,1,0,0,7.4,15,frequent,4,0,5,2,4,6,none,0.39,1
